Symbol;Name
AAPL;Apple Inc. Common Stock
AAXN;Axon Enterprise Inc. Common Stock
ABCL;AbCellera Biologics Inc. Common Shares
ABMD;ABIOMED Inc. Common Stock
ABNB;Airbnb Inc. Class A Common Stock
ACGL;Arch Capital Group Ltd. Common Stock
ADBE;Adobe Inc. Common Stock
ADI;Analog Devices Inc. Common Stock
ADP;Automatic Data Processing Inc. Common Stock
ADSK;Autodesk Inc. Common Stock
AEP;American Electric Power Company Inc. Common Stock
AFRM;Affirm Holdings Inc. Class A Common Stock
AKAM;Akamai Technologies Inc. Common Stock
ALGN;Align Technology Inc. Common Stock
ALNY;Alnylam Pharmaceuticals Inc. Common Stock
ALXN;Alexion Pharmaceuticals Inc. Common Stock
AMAT;Applied Materials Inc. Common Stock
AMD;Advanced Micro Devices Inc. Common Stock
AMED;Amedisys Inc Common Stock
AMGN;Amgen Inc. Common Stock
AMZN;Amazon.com Inc. Common Stock
ANSS;ANSYS Inc. Common Stock
API;Agora Inc. American Depositary Shares
ARGX;argenx SE American Depositary Shares
ASML;ASML Holding N.V. New York Registry Shares
ATVI;Activision Blizzard Inc. Common Stock
AVGO;Broadcom Inc. Common Stock
AZN;AstraZeneca PLC American Depositary Shares
BGNE;BeiGene Ltd. American Depositary Shares
BIDU;Baidu Inc. ADS
BIIB;Biogen Inc. Common Stock
BILI;Bilibili Inc. American Depositary Shares
BKNG;Booking Holdings Inc. Common Stock
BMRN;BioMarin Pharmaceutical Inc. Common Stock
BNTX;BioNTech SE American Depositary Share
BPY;Brookfield Property Partners L.P. Limited Partnership Units
BSY;Bentley Systems Incorporated Class B Common Stock
CDNS;Cadence Design Systems Inc. Common Stock
CDW;CDW Corporation Common Stock
CERN;Cerner Corporation Common Stock
CG;The Carlyle Group Inc. Common Stock
CGC;Canopy Growth Corporation Common Shares
CGNX;Cognex Corporation Common Stock
CHKP;Check Point Software Technologies Ltd. Ordinary Shares
CHRW;C.H. Robinson Worldwide Inc. Common Stock
CHTR;Charter Communications Inc. Class A Common Stock New
CINF;Cincinnati Financial Corporation Common Stock
CMCSA;Comcast Corporation Class A Common Stock
CME;CME Group Inc. Class A Common Stock
COST;Costco Wholesale Corporation Common Stock
COUP;Coupa Software Incorporated Common Stock
CPRT;Copart Inc. (DE) Common Stock
CREE;Cree Inc. Common Stock
CRWD;CrowdStrike Holdings Inc. Class A Common Stock
CSCO;Cisco Systems Inc. Common Stock
CSGP;CoStar Group Inc. Common Stock
CSX;CSX Corporation Common Stock
CTAS;Cintas Corporation Common Stock
CTSH;Cognizant Technology Solutions Corporation Class A Common Stock
CTXS;Citrix Systems Inc. Common Stock
CZR;Caesars Entertainment Inc. Common Stock
DADA;Dada Nexus Limited American Depositary Shares
DDOG;Datadog Inc. Class A Common Stock
DISCA;Discovery Inc. Series A Common Stock
DISCB;Discovery Inc. Series B Common Stock
DISCK;Discovery Inc. Series C Common Stock
DISH;DISH Network Corporation Class A Common Stock
DKNG;DraftKings Inc. Class A Common Stock
DLTR;Dollar Tree Inc. Common Stock
DOCU;DocuSign Inc. Common Stock
DXCM;DexCom Inc. Common Stock
EA;Electronic Arts Inc. Common Stock
EBAY;eBay Inc. Common Stock
ENTG;Entegris Inc. Common Stock
EQIX;Equinix Inc. Common Stock REIT
ERIC;Ericsson American Depositary Shares
ERIE;Erie Indemnity Company Class A Common Stock
ETSY;Etsy Inc. Common Stock
EXC;Exelon Corporation Common Stock
EXPD;Expeditors International of Washington Inc. Common Stock
EXPE;Expedia Group Inc. Common Stock
FAST;Fastenal Company Common Stock
FB;Facebook Inc. Class A Common Stock
FFIV;F5 Networks Inc. Common Stock
FISV;Fiserv Inc. Common Stock
FITB;Fifth Third Bancorp Common Stock
FIVE;Five Below Inc. Common Stock
FOX;Fox Corporation Class B Common Stock
FOXA;Fox Corporation Class A Common Stock
FSLR;First Solar Inc. Common Stock
FTNT;Fortinet Inc. Common Stock
GDRX;GoodRx Holdings Inc. Class A Common Stock
GH;Guardant Health Inc. Common Stock
GILD;Gilead Sciences Inc. Common Stock
GMAB;Genmab A/S ADS
GOOG;Alphabet Inc. Class C Capital Stock
GOOGL;Alphabet Inc. Class A Common Stock
GRFS;Grifols S.A. American Depositary Shares
GRMN;Garmin Ltd. Common Stock (Switzerland)
HAS;Hasbro Inc. Common Stock
HBAN;Huntington Bancshares Incorporated Common Stock
HOLX;Hologic Inc. Common Stock
HTHT;Huazhu Group Limited American Depositary Shares
HZNP;Horizon Therapeutics Public Limited Company Ordinary Shares
IAC;IAC/InterActiveCorp Common Stock
IBKR;Interactive Brokers Group Inc. Class A Common Stock
ICLR;ICON plc Ordinary Shares
IDXX;IDEXX Laboratories Inc. Common Stock
IEP;Icahn Enterprises L.P. Common Stock
ILMN;Illumina Inc. Common Stock
INCY;Incyte Corp. Common Stock
INTC;Intel Corporation Common Stock
INTU;Intuit Inc. Common Stock
IPGP;IPG Photonics Corporation Common Stock
IQ;iQIYI Inc. American Depositary Shares
ISRG;Intuitive Surgical Inc. Common Stock
JBHT;J.B. Hunt Transport Services Inc. Common Stock
JD;JD.com Inc. American Depositary Shares
JKHY;Jack Henry & Associates Inc. Common Stock
KC;Kingsoft Cloud Holdings Limited American Depositary Shares
KDP;Keurig Dr Pepper Inc. Common Stock
KHC;The Kraft Heinz Company Common Stock
KLAC;KLA Corporation Common Stock
LAZR;Luminar Technologies Inc.  Class A Common Stock
LBRDA;Liberty Broadband Corporation Class A Common Stock
LBRDK;Liberty Broadband Corporation Class C Common Stock
LBTYA;Liberty Global plc Class A Ordinary Shares
LBTYB;Liberty Global plc Class B Ordinary Shares
LBTYK;Liberty Global plc Class C Ordinary Shares
LI;Li Auto Inc. American Depositary Shares
LKQ;LKQ Corporation Common Stock
LNT;Alliant Energy Corporation Common Stock
LOGI;Logitech International S.A. Ordinary Shares
LRCX;Lam Research Corporation Common Stock
LSXMA;Liberty Media Corporation Series A Liberty SiriusXM Common Stock
LSXMB;Liberty Media Corporation Series B Liberty SiriusXM Common Stock
LSXMK;Liberty Media Corporation Series C Liberty SiriusXM Common Stock
LULU;lululemon athletica inc. Common Stock
LYFT;Lyft Inc. Class A Common Stock
MAR;Marriott International Class A Common Stock
MASI;Masimo Corporation Common Stock
MCHP;Microchip Technology Incorporated Common Stock
MDLZ;Mondelez International Inc. Class A Common Stock
MELI;MercadoLibre Inc. Common Stock
MKSI;MKS Instruments Inc. Common Stock
MKTX;MarketAxess Holdings Inc. Common Stock
MNST;Monster Beverage Corporation
MORN;Morningstar Inc. Common Stock
MPWR;Monolithic Power Systems Inc. Common Stock
MRNA;Moderna Inc. Common Stock
MRTX;Mirati Therapeutics Inc. Common Stock
MRVL;Marvell Technology Group Ltd. Common Stock
MSFT;Microsoft Corporation Common Stock
MTCH;Match Group Inc. Common Stock
MU;Micron Technology Inc. Common Stock
MXIM;Maxim Integrated Products Inc. Common Stock
NBIX;Neurocrine Biosciences Inc. Common Stock
NDAQ;Nasdaq Inc. Common Stock
NDSN;Nordson Corporation Common Stock
NFLX;Netflix Inc. Common Stock
NICE;NICE Ltd American Depositary Shares
NLOK;NortonLifeLock Inc. Common Stock
NTAP;NetApp Inc. Common Stock
NTES;NetEase Inc. American Depositary Shares
NTRA;Natera Inc. Common Stock
NTRS;Northern Trust Corporation Common Stock
NUAN;Nuance Communications Inc. Common Stock
NVCR;NovoCure Limited Ordinary Shares
NVDA;NVIDIA Corporation Common Stock
NWL;Newell Brands Inc. Common Stock
NWS;News Corporation Class B Common Stock
NWSA;News Corporation Class A Common Stock
NXPI;NXP Semiconductors N.V. Common Stock
ODFL;Old Dominion Freight Line Inc. Common Stock
OKTA;Okta Inc. Class A Common Stock
OLED;Universal Display Corporation Common Stock
ON;ON Semiconductor Corporation Common Stock
OPEN;Opendoor Technologies Inc Common Stock
ORLY;O'Reilly Automotive Inc. Common Stock
OTEX;Open Text Corporation Common Shares
OZON;Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share
PAYX;Paychex Inc. Common Stock
PCAR;PACCAR Inc. Common Stock
PCTY;Paylocity Holding Corporation Common Stock
PDD;Pinduoduo Inc. American Depositary Shares
PEGA;Pegasystems Inc. Common Stock
PENN;Penn National Gaming Inc. Common Stock
PEP;PepsiCo Inc. Common Stock
PFG;Principal Financial Group Inc Common Stock
PLTK;Playtika Holding Corp. Common Stock
PODD;Insulet Corporation Common Stock
POOL;Pool Corporation Common Stock
PPD;PPD Inc. Common Stock
PTC;PTC Inc. Common Stock
PTON;Peloton Interactive Inc. Class A Common Stock
PYPL;PayPal Holdings Inc. Common Stock
QCOM;QUALCOMM Incorporated Common Stock
QDEL;Quidel Corporation Common Stock
QRVO;Qorvo Inc. Common Stock
REGN;Regeneron Pharmaceuticals Inc. Common Stock
RGEN;Repligen Corporation Common Stock
ROKU;Roku Inc. Class A Common Stock
ROST;Ross Stores Inc. Common Stock
RPRX;Royalty Pharma plc Class A Ordinary Shares 
RUN;Sunrun Inc. Common Stock
RYAAY;Ryanair Holdings plc American Depositary Shares
SBAC;SBA Communications Corporation Class A Common Stock
SBUX;Starbucks Corporation Common Stock
SEDG;SolarEdge Technologies Inc. Common Stock
SFIX;Stitch Fix Inc. Class A Common Stock
SGEN;Seagen Inc. Common Stock
SIRI;Sirius XM Holdings Inc. Common Stock
SIVB;SVB Financial Group Common Stock
SNPS;Synopsys Inc. Common Stock
SNY;Sanofi ADR
SPLK;Splunk Inc. Common Stock
SSNC;SS&C Technologies Holdings Inc. Common Stock
STNE;StoneCo Ltd. Class A Common Shares
STX;Seagate Technology PLC Ordinary Shares (Ireland)
SWKS;Skyworks Solutions Inc. Common Stock
TCOM;Trip.com Group Limited American Depositary Shares
TEAM;Atlassian Corporation Plc Class A Ordinary Shares
TECH;Bio-Techne Corp Common Stock
TER;Teradyne Inc. Common Stock
TMUS;T-Mobile US Inc. Common Stock
TRMB;Trimble Inc. Common Stock
TROW;T. Rowe Price Group Inc. Common Stock
TSCO;Tractor Supply Company Common Stock
TSLA;Tesla Inc. Common Stock
TTWO;Take-Two Interactive Software Inc. Common Stock
TW;Tradeweb Markets Inc. Class A Common Stock
TXG;10x Genomics Inc. Class A Common Stock
TXN;Texas Instruments Incorporated Common Stock
UAL;United Airlines Holdings Inc. Common Stock
ULTA;Ulta Beauty Inc. Common Stock
VIAC;ViacomCBS Inc. Class B Common Stock
VIACA;ViacomCBS Inc. Class A Common Stock
VOD;Vodafone Group Plc American Depositary Shares
VRSK;Verisk Analytics Inc. Common Stock
VRSN;VeriSign Inc. Common Stock
VRTX;Vertex Pharmaceuticals Incorporated Common Stock
VTRS;Viatris Inc. Common Stock
WBA;Walgreens Boots Alliance Inc. Common Stock
WDAY;Workday Inc. Class A Common Stock
WDC;Western Digital Corporation Common Stock
WISH;ContextLogic Inc. Class A Common Stock
WIX;Wix.com Ltd. Ordinary Shares
WLTW;Willis Towers Watson Public Limited Company Ordinary Shares
WMG;Warner Music Group Corp. Class A Common Stock
WYNN;Wynn Resorts Limited Common stock
XEL;Xcel Energy Inc. Common Stock
XLNX;Xilinx Inc. Common Stock
XP;XP Inc. Class A Common Stock
XRAY;DENTSPLY SIRONA Inc. Common Stock
YNDX;Yandex N.V. Class A Ordinary Shares
Z;Zillow Group Inc. Class C Capital Stock
ZBRA;Zebra Technologies Corporation Class A Common Stock
ZG;Zillow Group Inc. Class A Common Stock
ZI;ZoomInfo Technologies Inc. Class A Common Stock
ZM;Zoom Video Communications Inc. Class A Common Stock
ZNGA;Zynga Inc. Class A Common Stock
ZS;Zscaler Inc. Common Stock